brand,signature_line,athlete,years,model_count,tag
361 Degrees,361 AG,Aaron Gordon,2020-2024,5,
361 Degrees,361 DVD,Spencer Dinwiddie,2021-2022,2,
361 Degrees,361 Joker,Nikola Jokic,2024,1,
741,741 Performance Rover,Jaylen Brown,2024,1,
Adidas,Adidas AE,Anthony Edwards,2023-2024,2,
Adidas,Adidas D Rose,Derrick Rose,2010-2022,16,
Adidas,Adidas D.O.N. Issue,Donovan Mitchell,,,
Adidas,Adidas Dame,Damian Lillard,2015-2024,9,
Adidas,Adidas Harden,James Harden,,,
Adidas,Adidas KB8,Kobe Bryant,1997-2021,6,
Adidas,Adidas Trae Young,Trae Young,2021-2023,3,
Anta,Anta GH,Gordon Hayward,2020-2024,5,
Anta,Anta KT,Klay Thompson,2015-2024,10,
Anta,Anta Kyrie,Kyrie Irving,,,
Anta,Anta RR,Rajon Rondo,2014-2019,6,
Big Baller Brand,BBB G3,LiAngelo Ball,2018,1,
Big Baller Brand,BBB ZO2,Lonzo Ball,2017-2019,3,
Converse,Converse SHAI,Shai Gilgeous-Alexander,,,
Ethics,Ethics lg,Langston Galloway,2021-2022,2,
HOLO,HOLO Footwear IO.01,Isaac Okoro,2024,1,
HOLO,HOLO Footwear JS01,Jacy Sheldon,,,
Iconic,Iconic,Air Jordan,Michael Jordan,,Iconic
Iconic,Iconic,Nike Kobe,Kobe Bryant,,Iconic
Iconic,Iconic,Nike Kyrie,Kyrie Irving,,Iconic
Iconic,Iconic,Nike LeBron,LeBron James,,Iconic
Iconic,Iconic,Puma Stewie,Breanna Stewart,,Iconic
Iconic,Iconic,Reebok Question/Solution,Allen Iverson,,Iconic
Jordan,Jordan CP3,Chris Paul,2008-2020,13,
Jordan,Jordan Luka,Luka Doncic,2022-2024,3,
Jordan,Jordan Tatum,Jayson Tatum,2023-2024,3,
Jordan,Jordan Why Not,Russell Westbrook,2018-2023,6,
Jordan,Jordan Zion,Zion Williamson,2021-2023,3,
K8RIOS,K8RIOS 8.1,Spencer Dinwiddie,2018-2019,2,
Li-Ning,Li-Ning CJ,CJ McCollum,2022-2024,3,
Li-Ning,Li-Ning JB,Jimmy Butler,2022-2024,3,
Li-Ning,Li-Ning Way of Wade,Dwyane Wade,2012-2023,13,
New Balance,NB Kawhi,Kawhi Leonard,2020-2023,4,
Nike,Nike A'One,A'ja Wilson,,,
Nike,Nike Air Deldon,Elena Delle Donne,2022,1,
Nike,Nike Book,Devin Booker,2024,1,
Nike,Nike Ja,Ja Morant,2023-2024,2,
Nike,Nike KD,Kevin Durant,,,
Nike,Nike PG,Paul George,2017-2022,6,
Nike,Nike Sabrina,Sabrina Ionescu,2023-2024,2,
Nike,Nike Zoom Freak,Giannis Antetokounmpo,2019-2024,6,
Peak,Peak AW,Andrew Wiggins,2023-2024,3,
Peak,Peak TP,Tony Parker,2014-2020,7,
Peak,Peak Underground,Lou Williams,2020-2021,2,
Puma,Puma MB,LaMelo Ball,2021-2024,4,
Puma,Puma Scoot Zero,Scoot Henderson,2023-2024,2,
Q4,Q4 LG9,Langston Galloway,2018-2020,3,
Rigorer,Rigorer AR,Austin Reaves,2023-2024,2,
Under Armour,Curry Flow,Stephen Curry,2020-2024,5,
Under Armour,Curry Fox,De'Aaron Fox,2024,1,
Under Armour,UA Curry,Stephen Curry,2014-2020,7,
Under Armour,Under Armour Embiid One,Joel Embiid,2020,1,
